Plant,PlantURL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Category
Mustard Seeds,https://www.theseedcollection.com.au/all-products?gn=Mustard Seeds&gg=2291,1,1,1,1,1,1,1,1,1,1,1,1,vegetable;herb
Okra Seeds,https://www.theseedcollection.com.au/all-products?gn=Okra Seeds&gg=2294,0,0,0,0,0,0,0,0,0,1,1,1,vegetable
Orach Seeds,https://www.theseedcollection.com.au/all-products?gn=Orach Seeds&gg=2446,1,1,0,0,0,0,0,0,1,1,1,1,vegetable
Parsnip Seeds,https://www.theseedcollection.com.au/all-products?gn=Parsnip Seeds&gg=2300,1,1,0,0,0,0,0,1,1,1,1,1,vegetable
Passionfruit Seeds,https://www.theseedcollection.com.au/all-products?gn=Passionfruit Seeds&gg=2301,0,0,0,0,0,0,0,0,1,1,1,0,vegetable
Pea Seeds,https://www.theseedcollection.com.au/all-products?gn=Pea Seeds&gg=2302,1,1,1,1,1,1,1,1,1,1,0,0,vegetable
Peanut Seeds,https://www.theseedcollection.com.au/all-products?gn=Peanut Seeds&gg=2927,0,0,0,0,0,0,0,0,1,1,1,0,vegetable
Potato Tubers,https://www.theseedcollection.com.au/all-products?gn=Potato Tubers&gg=2306,0,0,0,0,0,0,0,1,1,1,1,1,vegetable
Preserving Melon Seeds,https://www.theseedcollection.com.au/all-products?gn=Preserving Melon Seeds&gg=2342,0,0,0,0,0,0,0,0,1,1,1,1,vegetable
Pumpkin & Winter Squash Seeds,https://www.theseedcollection.com.au/all-products?gn=Pumpkin & Winter Squash Seeds&gg=2307,0,0,0,0,0,0,0,0,0,1,1,1,vegetable
Radish Seeds,https://www.theseedcollection.com.au/all-products?gn=Radish Seeds&gg=2309,1,1,1,1,1,1,1,1,1,1,1,1,vegetable
Raspberry Canes,https://www.theseedcollection.com.au/all-products?gn=Raspberry Canes&gg=2657,0,0,0,0,0,1,1,1,0,0,0,0,vegetable
Rhubarb Crowns,https://www.theseedcollection.com.au/all-products?gn=Rhubarb Crowns&gg=2345,0,0,0,0,0,0,0,1,1,1,0,0,vegetable
Rhubarb Seeds,https://www.theseedcollection.com.au/all-products?gn=Rhubarb Seeds&gg=2310,0,0,0,0,0,0,0,0,1,1,1,1,vegetable
Rocket Seeds,https://www.theseedcollection.com.au/all-products?gn=Rocket Seeds&gg=2311,0,1,1,0,0,0,0,0,1,1,1,0,vegetable
Rockmelon Seeds,https://www.theseedcollection.com.au/all-products?gn=Rockmelon Seeds&gg=2312,0,0,0,0,0,0,0,0,0,1,1,1,vegetable
Root Parsley Seeds,https://www.theseedcollection.com.au/all-products?gn=Root Parsley Seeds&gg=2341,1,1,1,0,0,0,0,0,1,1,1,1,vegetable;herb
Rosella Seeds,https://www.theseedcollection.com.au/all-products?gn=Rosella Seeds&gg=2313,0,0,0,0,0,0,0,0,0,0,1,1,vegetable
Salsify Seeds,https://www.theseedcollection.com.au/all-products?gn=Salsify Seeds&gg=2490,1,1,1,0,0,0,0,0,1,1,1,1,vegetable
Scarlet Runner Bean Seeds,https://www.theseedcollection.com.au/all-products?gn=Scarlet Runner Bean Seeds&gg=2861,1,0,0,0,0,0,0,0,0,1,1,1,vegetable
Shallot from Bulbs,https://www.theseedcollection.com.au/all-products?gn=Shallot from Bulbs&gg=2317,0,0,0,0,0,0,1,1,1,0,0,0,vegetable
Shallot from Seeds,https://www.theseedcollection.com.au/all-products?gn=Shallot from Seeds&gg=2904,0,1,1,1,1,1,1,1,1,0,0,0,vegetable
Shark Fin Melon Seeds,https://www.theseedcollection.com.au/all-products?gn=Shark Fin Melon Seeds&gg=2497,0,0,0,0,0,0,0,0,0,1,1,1,vegetable
Silverbeet Seeds,https://www.theseedcollection.com.au/all-products?gn=Silverbeet Seeds&gg=2318,1,1,1,1,0,0,0,0,1,1,1,1,vegetable
