Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1981,3.85,-3.66,-3.44,-37.50,17.60,44.86,41.41,42.69,-30.31,-13.50,-4.41,-21.10
1982,7.18,-25.00,19.06,-20.28,-21.71,-17.70,-46.19,-58.73,-21.09,-39.39,-40.63,-21.72
1983,-17.83,-24.41,44.66,11.05,33.26,-6.23,10.24,4.36,35.04,0.65,17.04,-14.64
1984,38.54,-8.97,17.61,-10.84,-42.94,-25.98,22.13,31.52,18.78,-28.44,-8.06,-17.64
1985,-20.18,-23.28,-4.73,3.67,-12.90,-2.16,-20.85,32.20,-19.30,16.74,15.55,55.99
1986,-15.77,-17.15,-35.46,3.50,6.04,-20.63,42.78,-10.58,-3.35,41.45,-15.59,22.39
1987,0.31,11.73,-4.73,-21.41,19.40,15.49,4.75,-28.09,-27.55,-13.54,-14.00,18.42
1988,5.47,-13.91,-8.38,-18.54,36.31,23.21,-1.02,-25.81,12.66,-23.37,45.45,20.31
1989,-10.86,-14.48,32.58,21.75,13.68,24.92,7.97,5.17,-7.85,22.69,-19.62,-16.08
1990,-29.23,30.30,-15.20,25.36,-32.06,3.94,22.38,20.07,-9.49,0.84,-20.38,-21.36
1991,49.74,-26.36,-18.45,-20.83,-53.13,75.89,12.97,26.42,17.48,-48.74,-21.66,7.41
1992,-6.72,-3.98,-10.22,7.89,4.65,6.42,-24.96,21.16,59.80,36.10,39.16,56.64
1993,32.40,11.44,6.28,-41.62,-32.22,-13.28,16.82,-18.80,59.91,31.87,3.21,35.61
1994,-8.24,51.17,-20.65,-22.90,-25.85,7.05,-41.49,-44.09,-22.32,-20.21,1.41,-27.41
1995,29.93,-6.29,-19.59,15.72,18.22,36.83,25.54,-37.65,-18.37,16.93,1.12,-12.39
1996,16.60,24.05,2.28,-4.58,-39.41,28.11,21.82,9.87,32.80,-19.50,-14.27,-17.34
1997,2.28,-17.44,-16.13,-40.51,1.54,-19.24,-43.90,-17.75,11.18,-29.02,3.74,-34.30
1998,-5.68,2.91,-32.09,13.28,-40.02,30.05,-0.89,-34.48,5.94,2.55,23.91,-12.80
1999,-5.32,8.74,10.88,-27.58,-2.42,-8.22,-32.29,-0.23,-21.52,-9.96,0.84,25.46
2000,-13.74,15.88,-16.34,0.66,19.60,-9.86,-8.44,-17.25,20.60,17.78,11.65,-22.77
2001,-6.76,1.08,8.21,-0.91,-42.62,2.28,-25.03,15.88,-6.10,23.93,0.60,-16.63
2002,-10.70,17.44,-18.22,-12.76,-27.75,3.95,-29.81,-41.74,-15.87,-32.08,-15.06,-16.66
2003,-19.84,10.15,-17.26,-7.92,-25.65,10.64,0.72,14.26,-12.48,7.20,-18.18,9.81
2004,-11.09,-15.75,-24.54,-18.03,-24.38,21.53,-10.42,-8.09,-1.05,-35.05,28.48,17.34
2005,0.14,52.25,-26.59,-31.45,-53.97,20.08,-13.23,7.36,0.23,8.66,0.85,-5.73
2006,1.23,-11.78,-24.67,0.34,-19.12,-33.88,-17.56,-47.74,-24.21,-55.88,-26.90,-32.89
2007,16.40,-0.08,-4.60,-9.43,7.61,14.43,3.93,-44.86,-28.40,-40.95,24.68,16.15
2008,0.89,-3.33,-19.84,-29.97,-29.08,-24.89,2.04,-13.91,-32.49,-50.03,19.12,25.97
2009,-32.65,-25.68,-11.72,-2.61,-38.52,-7.03,-3.55,-8.09,13.92,-18.74,18.27,-14.70
2010,-6.66,33.39,25.68,1.81,-16.78,-7.38,-22.41,41.27,4.86,36.77,39.48,59.34
2011,79.81,75.81,17.16,-8.47,-19.54,-10.39,-0.70,-12.89,-15.70,-12.08,30.47,-1.17
2012,-6.72,23.68,59.42,-20.48,-17.64,21.63,-5.59,-9.36,-20.22,-29.97,-21.51,-16.26
2013,-31.16,12.84,-10.32,-29.95,-21.47,38.04,3.05,12.63,-3.82,-6.72,-14.67,-7.52
2014,-18.02,-9.92,-2.83,30.61,-17.83,28.15,-16.21,-43.77,-19.11,-35.25,-10.51,-2.01
2015,25.38,-3.17,-24.64,10.82,-17.79,-15.77,-9.24,-25.73,-30.44,-45.88,-7.43,-20.04
2016,25.33,-13.61,-3.85,-29.64,21.51,22.83,31.35,-10.18,66.97,19.81,-10.15,-5.56
2017,-2.05,1.72,-5.69,29.44,-21.18,-44.46,-16.33,9.82,-15.51,-16.10,-1.54,33.89
2018,-5.39,-19.52,-22.30,-34.54,-5.48,-2.38,-21.21,-13.44,-41.54,-34.31,-1.54,23.83
2019,-28.19,-9.01,-13.77,-39.25,21.54,9.49,-12.18,-20.74,-21.10,-41.80,-4.81,-36.15
2020,9.55,21.35,0.67,53.89,-14.88,-13.97,-25.23,-5.01,-13.89,23.48,-17.45,-11.55
2021,33.85,-4.24,5.81,-31.74,-9.41,30.06,4.04,-21.30,8.92,7.70,27.68,-16.66
2022,40.92,-16.43,15.54,15.75,-19.92,9.54,-30.14,25.59,25.42,96.70,52.15,-6.45
2023,-8.94,-10.03,5.04,11.74,-16.17,40.43,-32.82,-36.65,-42.09,8.09,11.67,35.75
2024,50.92,-18.04,-32.42,-4.59,-33.92,-13.34,-6.00,-40.25,-19.01,-19.78,10.12,-8.87
2025,-13.15,-2.90,-2.99,-24.70,-46.33,11.85,10.10,-26.66,,,,
