animal_taxon_name,Species,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of Records,Victoria : Conservation Status,EPBC Act Threatened Species,Weeds of National Significance (WoNS) as at Feb. 2013,VIC State Notifiable Pests,image_url,summary
Aleyrodes proletella,https://biodiversity.org.au/afd/taxa/4e6444ca-82b4-43f3-acea-0cc2e1edef4c,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Aleyrodes,Whitefly,13,,,,,https://images.ala.org.au/image/proxyImage?imageId=70fe155a-1bc0-4f29-9ef5-746936e0a5c5,The cabbage whitefly is a species of whitefly from the Aleyrodidae family. It has a global distribution.
Chrysodeixis eriosoma,https://biodiversity.org.au/afd/taxa/c237e01c-1e79-4bb0-9b54-00fe6c84421e,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Chrysodeixis,Green Looper Moth,218,,,,,https://images.ala.org.au/image/proxyImage?imageId=c0a93b03-89ae-4211-ba54-7847ac953263,"Chrysodeixis eriosoma, the green garden looper, known in New Zealand as the Silver Y, is a moth of the family Noctuidae. Mostly cosmopolitan in distribution, it is a pest in Japan, China, India, Sri Lanka, the Malay Peninsula and Australasia. It is present in Hawaii and recorded as an incursion in mainland North America and Russia…"
Thysanoplusia orichalcea,https://biodiversity.org.au/afd/taxa/8139fc73-665b-4934-ab4d-f4a3c26aeb00,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Thysanoplusia,Soybean Looper Moth,54,,,,,https://images.ala.org.au/image/proxyImage?imageId=772e8a27-14ea-49cb-aa28-39abbc1aee25,"Thysanoplusia orichalcea, the slender burnished brass, is a moth of the family Noctuidae. The species was first described by Johan Christian Fabricius in 1775. It is a polyphagous pest of vegetable crops that originated in Indonesia, from where it spread to Europe, South Asia, India, Sri Lanka, Africa, Australia and New Zealand. In northern Europe it is a migrant species."
Cotesia glomerata,https://biodiversity.org.au/afd/taxa/1440ff74-5e85-4f3b-9675-ee9f6b0ca58d,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,,56,,,,,https://images.ala.org.au/image/proxyImage?imageId=99061343-973c-48e8-9bdb-1d0613a23f80,"Cotesia glomerata, the white butterfly parasite, is a small parasitoid wasp belonging to family Braconidae. It was described by Carl Linnaeus in his 1758 publication 10th edition of Systema Naturae."
Anthidium manicatum,https://biodiversity.org.au/afd/taxa/c39ba5f9-001a-4f5c-986d-7d975941ae86,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium,European Wool Carder Bee,13,,,,,https://images.ala.org.au/image/proxyImage?imageId=32e7367f-0e55-4d3d-b579-2cef4a89566d,"Anthidium manicatum, commonly called the European wool carder bee, is a species of bee in the family Megachilidae, the leaf-cutter bees or mason bees."
Neotoxoptera formosana,https://biodiversity.org.au/afd/taxa/6c58b0f8-4792-461c-9c3f-58aa831771cc,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Neotoxoptera,Onion Aphid,7,,,,,https://images.ala.org.au/image/proxyImage?imageId=34bb48f1-258d-4bcf-ac08-428119b1b928,"Neotoxoptera formosana, the onion aphid, is an aphid in the order Hemiptera. It was originally discovered in Taiwan in 1921, but has spread all around the world. The aphid is dark reddish brown in color. Host plants include Allium ascalonicum, Allium cepa, Allium chinense, Allium fistulosum, Allium porrum, Allium sativum, Allium schoenoprasum, and Allium tuberosum."
Felis catus,https://biodiversity.org.au/afd/taxa/7de6b16a-f854-4b4b-88cf-81868ce74ad8,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Cat,7651,,,,,https://images.ala.org.au/image/proxyImage?imageId=1a90dbd9-3986-44a0-a9ac-16af054b6513,"The cat, also referred to as the domestic cat or house cat, is a small domesticated carnivorous mammal. It is the only domesticated species of the family Felidae. Advances in archaeology and genetics have shown that the domestication of the cat occurred in the Near East around 7500 BC. It is commonly kept as a pet and working cat, but also ranges freely as a feral cat avoiding human contact…"
Danaus chrysippus,https://biodiversity.org.au/afd/taxa/5b4ac62d-4174-4963-8738-06f5359f3366,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Lesser Wanderer,5,,,,,https://images.ala.org.au/image/proxyImage?imageId=60051784-e3a6-49f3-ba55-b9b11700a304,"Danaus chrysippus, also known as the plain tiger, African queen, or African monarch, is a medium-sized butterfly widespread in Asia, Australia and Africa. It belongs to the Danainae subfamily of the brush-footed butterfly family Nymphalidae. Danainae primarily consume plants in the genus Asclepias, more commonly called milkweed…"
Coccinella septempunctata,ALA_DR22913_983,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Seven-spotted Ladybird,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=e509a77f-53b1-4bac-a1cd-92fb4ef968af,"Coccinella septempunctata, the common ladybug, the seven-spot ladybird, is a carnivorous beetle native to Europe, Africa and Eastern Asia. It has been introduced to North America and can be found in many regions with a temperate climate…"
Sceliphron caementarium,https://biodiversity.org.au/afd/taxa/79800626-ee1f-4839-97ed-b9dead75d169,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Sceliphron,,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=e4f40a55-1ad9-4de0-8404-8bffafba313b,"Sceliphron caementarium, also known as the yellow-legged mud-dauber wasp, black-and-yellow mud dauber, or black-waisted mud-dauber, is a species of sphecid wasp. There are some 30 other species of Sceliphron that occur throughout the world, though in appearance and habits they are quite similar to S. caementarium."
Carduelis carduelis,https://biodiversity.org.au/afd/taxa/07f2e8c3-1e0c-4a02-8177-bf9b54435b93,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,European Goldfinch,79311,,,,,https://images.ala.org.au/image/proxyImage?imageId=c0b435b0-d9f3-4133-b0c5-97528b6d5815,"The European goldfinch or simply the goldfinch is a small passerine bird in the finch family that is native to the Palearctic zone in Europe, northern Africa, and western Asia. It has been introduced to other areas, including Australia, New Zealand, Uruguay and the United States."
Tebenna micalis,https://biodiversity.org.au/afd/taxa/80fae0a9-d3ea-4af9-aca2-3fa3bbfdaacb,Animalia,Arthropoda,Insecta,Lepidoptera,Choreutidae,Tebenna,Small Thistle Moth,509,,,,,https://images.ala.org.au/image/proxyImage?imageId=91edc428-20dc-46b4-a86d-1991ad57af7b,"Tebenna micalis, also known as the small thistle moth, is a species of moth in the family Choreutidae found worldwide. It was first described by the German Bohemian entomologist, Joseph Johann Mann in 1857."
Lucilia sericata,https://biodiversity.org.au/afd/taxa/4a6daa33-3471-407b-9764-12ad920505ed,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Lucilia,Green Blowfly,339,,,,,https://images.ala.org.au/image/proxyImage?imageId=ac2e7d92-4734-4c93-921c-f17e9877c345,"The common green bottle fly is a blowfly found in most areas of the world and is the most well-known of the numerous green bottle fly species. Its body is 10–14 mm (0.39–0.55 in) in length – slightly larger than a house fly – and has brilliant, metallic, blue-green or golden coloration with black markings. It has short, sparse, black bristles (setae) and three cross-grooves on the thorax…"
Phthorimaea operculella,https://biodiversity.org.au/afd/taxa/9dfe7f97-93fc-4d45-a330-c8bb3158f474,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Phthorimaea,Twirler Moth,3,,,,,https://images.ala.org.au/image/proxyImage?imageId=7dcf10c6-5b56-4f90-b80c-2b3ad45561a5,"Phthorimaea operculella, also known as the potato tuber moth or tobacco splitworm, is a moth of the family Gelechiidae. It is an oligophagous insect that feeds on the plant family Solanaceae and is especially known for being a major pest of potato crops. Currently farmers utilize insecticides, parasites, and sprinkler irrigation in order to prevent P. operculella from infesting their croplands."
Acizzia solanicola,https://biodiversity.org.au/afd/taxa/fac11946-6621-4779-b9a6-6fe0075daa52,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Acizzia,,9,,,,,https://images.ala.org.au/image/proxyImage?imageId=13027e51-0d03-4697-bc8e-d29c9ef90207,"Acizzia solanicola is a psyllid from Australia, found on plants of the genus Solanum. It has subsequently been found also in New Zealand."
Spilostethus hospes,https://biodiversity.org.au/afd/taxa/01fafcc6-a582-4699-bd85-1416b8af6c66,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Spilostethus,Bug,10,,,,,https://images.ala.org.au/image/proxyImage?imageId=27859fbe-14d0-4cc7-a969-12129f2f76a8,"The Darth Maul bug, is a species of seed bug found in Asia, Australasia, and Oceania. Its common name is a reference to the Star Wars character Darth Maul, who shares similar markings. It is sometimes referred to as the Milkweed Bug in Australia because it feeds on Milkweed plants, however the Large Milkweed bug refers to a different species - Oncopelltus fasciatus…"
Ostrinia furnacalis,https://biodiversity.org.au/afd/taxa/7ec624fd-21fe-4f6f-baf6-de6a2eadb206,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Ostrinia,,15,,,,Y,https://images.ala.org.au/image/proxyImage?imageId=3b7c8078-505a-4746-9259-883a4f4b27b7,"Ostrinia furnacalis is a species of moth in the family Crambidae, the grass moths. It was described by Achille Guenée in 1854 and is known by the common name Asian corn borer since this species is found in Asia and feeds mainly on corn crop. The moth is found from China to Australia, including in Java, Sulawesi, the Philippines, Borneo, New Guinea, the Solomon Islands, and Micronesia…"
Agrius convolvuli,https://biodiversity.org.au/afd/taxa/d9d5caed-f028-4a4c-97cb-c686690ea582,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Agrius,Convolvulus Hawk Moth,137,,,,,https://images.ala.org.au/image/proxyImage?imageId=b08a750c-a4f6-4c6d-9349-533163218f17,"Agrius convolvuli, the convolvulus hawk-moth, is a large hawk-moth. It is common throughout Europe, Asia, Africa, Australia and New Zealand, partly as a migrant. In New Zealand, it is also known as the kumara moth, and in the Māori language as hīhue."
Diomedea exulans,https://biodiversity.org.au/afd/taxa/702eb2fa-4723-4d0f-bca2-4e0d0770a6fb,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,Wandering Albatross,20,Critically Endangered,Vulnerable,,,https://images.ala.org.au/image/proxyImage?imageId=259aa40c-7e28-4f72-ba0e-d74a1dca9217,"The snowy albatross, also known as the wandering albatross, white-winged albatross, or goonie, is a large seabird from the family Diomedeidae; they have a circumpolar range in the Southern Ocean. It is the largest species of albatross and was long considered to be the same species as the Tristan albatross and the Antipodean albatross…"
Epiphyas postvittana,https://biodiversity.org.au/afd/taxa/4e6c31cc-7308-4848-831c-75b95243918b,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epiphyas,Light Brown Apple Moth,613,,,,,https://images.ala.org.au/image/proxyImage?imageId=c33c4b3f-69aa-439c-a505-20d7709c7119,"The light brown apple moth, often abbreviated to LBAM, is a leafroller moth belonging to the lepidopteran family Tortricidae."
Rattus rattus,https://biodiversity.org.au/afd/taxa/c1817333-9c62-4a05-af03-fe5fb9c9a0ce,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Black Rat,6073,,,,,https://images.ala.org.au/image/proxyImage?imageId=b5ec8d2a-f5ce-4d26-8046-99e00a4a00e4,"The black rat, also known as the roof rat, ship rat, or house rat, is a common long-tailed rodent of the stereotypical rat genus Rattus, in the subfamily Murinae. It likely originated in the Indian subcontinent, but is now found worldwide."
Psittacula krameri,ALA_DR22913_1765,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,Ring-necked Parakeet,166,,,,,https://images.ala.org.au/image/proxyImage?imageId=ce877bd8-6b6d-4673-93f7-8b79df254493,"The rose-ringed parakeet, also known as the ring-necked parakeet, ringneck parrot or the Kramer parrot, is a medium-sized parrot in the genus Psittacula, of the family Psittacidae. It has disjunct native ranges in Africa and the Indian subcontinent, and is now introduced into many other parts of the world where feral populations have established themselves or are bred for the exotic pet trade."
Psittacula eupatria,ALA_DR22913_1402,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,Parrots,24,,,,,https://images.ala.org.au/image/proxyImage?imageId=ae604932-83d1-470d-8ada-bdcc4b2e4e25,"The Alexandrine parakeet, also known as the Alexandrine parrot, is a medium-sized parrot in the genus Psittacula of the family Psittaculidae, native to South Asia and Southeast Asia. It is named after Alexander the Great, who transported numerous birds from Punjab to various European and Mediterranean countries and regions, where they were prized by the royalty, nobility and warlords."
Adalia bipunctata,https://biodiversity.org.au/afd/taxa/c3d44f69-62c3-430c-9f66-1f313f5d41ce,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Adalia,,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=43f91a90-320c-4935-aab2-1589c712888a,"Adalia bipunctata, the two-spot ladybird, two-spotted ladybug or two-spotted lady beetle, is a carnivorous beetle of the family Coccinellidae that is found throughout the holarctic region. It is very common in western and central Europe. It is also native to North America but it has heavily declined in many states and provinces. It is commonly introduced and imported as a biological control agent."
Hippodamia variegata,https://biodiversity.org.au/afd/taxa/5d3f3041-83a6-4d47-a640-67ddbabc845f,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia,Spotted Amber Ladybird,2797,,,,,https://images.ala.org.au/image/proxyImage?imageId=a0e73727-7612-44f7-a52a-e846f8c14f94,"Hippodamia variegata, the Adonis ladybird, also known as the variegated ladybug (US) and spotted amber ladybeetle (Aus), is a species of ladybeetle belonging to the family Coccinellidae, subfamily Coccinellinae."
Cornu aspersum,https://biodiversity.org.au/afd/taxa/10f7757e-79b1-4551-954a-1deb0ea91b2b,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,Common Garden Snail,2636,,,,,https://images.ala.org.au/image/proxyImage?imageId=8524984e-7a23-4342-b6d4-4a404de69e2f,"Cornu aspersum, known by the common name garden snail, is a species of land snail in the family Helicidae, which includes some of the most familiar land snails. Of all terrestrial molluscs, this species may well be the most widely known. It was classified under the name Helix aspersa for over two centuries, but the prevailing classification now places it in the genus Cornu."
Theba pisana,https://biodiversity.org.au/afd/taxa/fc6053da-0825-4ba6-ac56-40997ffa6c30,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Theba,White Italian Snail,386,,,,,https://images.ala.org.au/image/proxyImage?imageId=e629f3e1-61f6-4a17-bb46-1feba90813f3,"Theba pisana, common names the white garden snail, sand hill snail, white Italian snail, Mediterranean coastal snail, and simply just the Mediterranean snail, is an edible species of medium-sized, air-breathing land snail, a terrestrial pulmonate gastropod mollusk in the family Helicidae, the typical snails."
Pogona vitticeps,https://biodiversity.org.au/afd/taxa/dc74ee0b-bcad-4819-85ad-e081f28b5c34,Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,Central Bearded Dragon,453,,,,,https://images.ala.org.au/image/proxyImage?imageId=167bb375-5b4c-40fd-8568-4bb6802a9313,"The central bearded dragon, also known as the inland bearded dragon, is a species of agamid lizard found in a wide range of arid to semiarid regions of eastern and central Australia."
Caedicia simplex,https://biodiversity.org.au/afd/taxa/82d2cd55-c804-4fb2-8913-812e6cb358b6,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Caedicia,Common Garden Katydid,1053,,,,,https://images.ala.org.au/image/proxyImage?imageId=39625294-0c50-4b5c-b156-4ae8c369c64e,"Caedicia simplex is a species of bush cricket or katydid, native to New Zealand and Australia. A common name is the ""common garden katydid""."
Mordella promiscua,https://biodiversity.org.au/afd/taxa/6893256d-5dd2-4a2c-bdaa-60545558ef37,Animalia,Arthropoda,Insecta,Coleoptera,Mordellidae,Mordella,,16,,,,,https://images.ala.org.au/image/proxyImage?imageId=107979c3-09cc-44c6-86ad-24e71e9ddba3,"Mordella promiscua is a species of beetle in the genus Mordella of the family Mordellidae, which is part of the superfamily Tenebrionoidea. It was discovered in 1942."
Simosyrphus grandicornis,https://biodiversity.org.au/afd/taxa/09e007e5-22c5-44ff-9654-4bcf4f1fcdb4,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Simosyrphus,Hoverfly,1626,,,,,https://images.ala.org.au/image/proxyImage?imageId=b12f0a97-2ce6-49e4-b922-9dde5c3cc17d,"Simosyrphus grandicornis is an Australasian species of hoverfly, and is one of the two most common hoverflies in Australia, alongside Melangyna viridiceps. It has been introduced to a number of Polynesian Islands and Hawaii."
Forficula auricularia,https://biodiversity.org.au/afd/taxa/9d9d727f-7066-4e0b-a657-54efb0c5b381,Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,European Earwig,749,,,,,https://images.ala.org.au/image/proxyImage?imageId=7ded5499-4fc3-4516-8b46-cfa404bbe474,"Forficula auricularia is a species complex comprising the common earwig. It is also known as the European earwig. It is an omnivorous insect belonging to the family Forficulidae. The name earwig comes from the appearance of the hindwings, which are unique in their resemblance to human ears when unfolded. The species name of the common earwig, auricularia, is a specific reference to this feature…"
Musca domestica,https://biodiversity.org.au/afd/taxa/12583c78-47fa-49c5-bef0-bca6432c961c,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Musca,House Fly,100,,,,,https://images.ala.org.au/image/proxyImage?imageId=dd781bb3-aa1d-4786-be10-14cb7bdb0a32,"The housefly is a fly of the suborder Cyclorrhapha. It possibly originated in the Middle East, and spread around the world as a commensal of humans. Adults are gray to black, with four dark, longitudinal lines on the thorax, slightly hairy bodies, and a single pair of membranous wings. They have red compound eyes, set farther apart in the slightly larger female."
Fucellia tergina,https://biodiversity.org.au/afd/taxa/6a52fbb7-09f7-4311-ac62-cb12da9918ae,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Fucellia,,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=89d46fb1-c0d9-42de-85e0-7a9848086334,
Fannia canicularis,https://biodiversity.org.au/afd/taxa/436cadf9-4cc1-4c6f-9c5f-750d1034bfa1,Animalia,Arthropoda,Insecta,Diptera,Fanniidae,Fannia,Fly,21,,,,,https://images.ala.org.au/image/proxyImage?imageId=d9ec37a8-af22-48b5-bfd9-71c512593555,"The lesser house fly, commonly known as little house fly, is a species of fly. It is somewhat smaller than the common housefly and is best known for its habit of entering buildings and flying in jagged patterns in the middle of a room. It is slender, and the median vein in the wing is straight. Larvae feed on all manner of decaying organic matter, including carrion."
Stomoxys calcitrans,https://biodiversity.org.au/afd/taxa/1bbeb920-e0a5-4761-a9f2-9feb553c5f0e,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Stomoxys,Stable Fly,93,,,,,https://images.ala.org.au/image/proxyImage?imageId=1c96dda9-61b2-4c7c-be0e-063d1344a254,"Stomoxys calcitrans is known by the common names stable fly, barn fly, biting house fly, dog fly, and power mower fly. Unlike most members of the family Muscidae, Stomoxys calcitrans and others of its genus suck blood from mammals. Now found worldwide, the species is considered to be of Eurasian or African origin."
Anthomyia pluvialis,https://biodiversity.org.au/afd/taxa/2b351b26-743b-4517-b4b2-7da3d4c4891a,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Anthomyia,Bean Fly,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=36f2d18d-a970-4389-b347-52bce6262be3,Anthomyia pluvialis is a species of fly in the family Anthomyiidae. It is found in the Palearctic.
Vespula germanica,https://biodiversity.org.au/afd/taxa/f3ed7df3-cb3f-48c5-841c-d5dc556e5db6,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,European Wasp,1613,,,,,https://images.ala.org.au/image/proxyImage?imageId=a9f8fb80-ab00-4b7b-b059-82a767321dde,"Vespula germanica, known colloquially as the European wasp, German wasp, or German yellowjacket, is a species of wasp found in much of the Northern Hemisphere, native to Europe, Northern Africa, and temperate Asia. It has spread and become well-established in many other places, including North America, South America, Australia, South Africa, and New Zealand…"
Lasionemopoda hirsuta,https://biodiversity.org.au/afd/taxa/d69d8b38-6a72-4b9d-851d-06fc64e8ed5b,Animalia,Arthropoda,Insecta,Diptera,Sepsidae,Lasionemopoda,Black Scavenger Fly,5,,,,,https://images.ala.org.au/image/proxyImage?imageId=d067f8b6-d116-4062-9add-841d5e9cba29,"Lasionemopoda is a genus of flies in the family Sepsidae. It is monotypic, being represented by the single species Lasionemopoda hirsuta."
Diplazon laetatorius,https://biodiversity.org.au/afd/taxa/d5557f1d-f417-437f-b548-e02f42cc6974,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Diplazon,,127,,,,,https://images.ala.org.au/image/proxyImage?imageId=c911d87f-dcdb-4c6a-b007-fe068f40a99e,Diplazon laetatorius is a hover fly parasitoid wasp in the Diplazontinae subfamily of the Ichneumonid wasp family (Ichneumonidae). It was first described as Ichneumon laetatorius in 1781 by Johan Christian Fabricius.
Oxysarcodexia varia,https://biodiversity.org.au/afd/taxa/784b9fec-ca7a-46a1-820c-55ce101bc2b6,Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Oxysarcodexia,Striped Dung Fly,137,,,,,https://images.ala.org.au/image/proxyImage?imageId=b360b90d-dd53-47bc-ade5-0f47ce66fbe3,"Oxysarcodexia varia, commonly known by the name striped dung fly, is a species of insect in the family Sarcophagidae. It is found in parts of South America, Polynesia, Norfolk Island, and New Zealand."
Ochetellus glaber,https://biodiversity.org.au/afd/taxa/0856b247-88a4-4e4b-933a-753277e7f269,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Ochetellus,Black House Ant,98,,,,,https://images.ala.org.au/image/proxyImage?imageId=56ad8e2c-85a5-4f7d-903c-2c6f0c1a891f,"Ochetellus glaber is a species of ant native to Australia. A member of the genus Ochetellus in the subfamily Dolichoderinae, it was described by Austrian entomologist Gustav Mayr in 1862. Aside from Australia, O…"
Linepithema humile,https://biodiversity.org.au/afd/taxa/fb02f311-20e7-4ad6-aef4-47274638ecc0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Argentine Ant,278,,,,,https://images.ala.org.au/image/proxyImage?imageId=0980f898-1dfe-46a5-b8ff-19752b4cab8a,"The Argentine ant is an ant native to northern Argentina, Uruguay, Paraguay, Bolivia and southern Brazil. This invasive species was inadvertently introduced by humans on a global scale and has become established in many Mediterranean climate areas, including South Africa, New Zealand, Japan, Easter Island, Australia, the Azores, Europe, Hawaii, and the continental United States…"
Coccinella undecimpunctata,https://biodiversity.org.au/afd/taxa/03ddebd5-3256-41c0-85c8-62d97295e625,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Elevenspotted Ladybird,103,,,,,https://images.ala.org.au/image/proxyImage?imageId=b6c91f3e-0988-4ccd-bd47-076d011c7d03,"Coccinella undecimpunctata, the eleven-spot ladybird or eleven-spotted lady beetle, it is native to central Asia, though commonly found in Europe, and formerly North America as its populations are decreasing. It is of the family Coccinellidae, commonly referred to as ladybugs or lady beetles."
Lucilia cuprina,https://biodiversity.org.au/afd/taxa/9830b287-00de-4c5a-a72f-811de43fa336,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Lucilia,Australian Sheep Blowfly,48,,,,,https://images.ala.org.au/image/proxyImage?imageId=58697ecf-8b5e-4eab-a811-d1bb5a314b3f,"Lucilia cuprina, formerly named Phaenicia cuprina, the Australian sheep blowfly is a blow fly in the family Calliphoridae. It causes the condition known as ""sheep strike"". The female fly locates a sheep with ideal conditions, such as an open wound or a build-up of faeces or urine in the wool, in which she lays her eggs…"
Liorhyssus hyalinus,https://biodiversity.org.au/afd/taxa/419c5168-86c2-49c0-a971-f9d37e98f5f6,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Liorhyssus,,16,,,,,https://images.ala.org.au/image/proxyImage?imageId=5def329d-7705-4f6f-94be-d18c8767c344,"Liorhyssus hyalinus is a species of scentless plant bugs belonging to the family Rhopalidae, subfamily Rhopalinae."
Stenotus binotatus,https://biodiversity.org.au/afd/taxa/c27ec693-9dc4-43d8-92db-4ac75133d94f,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Stenotus,,21,,,,,https://images.ala.org.au/image/proxyImage?imageId=4678325e-23fb-420e-a2fc-e1fe6377880d,"Stenotus binotatus is a species of plant bug, originally from Europe, but now also established across North America and New Zealand. It is 6–7 mm (0.24–0.28 in) long, yellowish, with darker markings on the pronotum and forewings. It feeds on various grasses, and can be a pest of crops such as wheat."
Lonchoptera bifurcata,https://biodiversity.org.au/afd/taxa/295165e4-48ac-4539-96b9-8060a2d41e08,Animalia,Arthropoda,Insecta,Diptera,Lonchopteridae,Lonchoptera,,69,,,,,https://images.ala.org.au/image/proxyImage?imageId=63231163-89f7-4056-bb31-126a806bf6b9,"Lonchoptera bifurcata is a species of spear-winged or pointed-winged flies in the family Lonchopteridae. It has a Holarctic distribution and is present in Europe, Asia and North America."
Lymnaea stagnalis,https://biodiversity.org.au/afd/taxa/1597d71d-a996-4eec-9618-3d540bacf282,Animalia,Mollusca,Gastropoda,,Lymnaeidae,Lymnaea,European Pond Snail,6,,,,,https://images.ala.org.au/image/proxyImage?imageId=8a4a649e-920d-49cf-904b-6d477fed8412,"Lymnaea stagnalis, better known as the great pond snail, is a species of large air-breathing freshwater snail, an aquatic pulmonate gastropod mollusk in the family Lymnaeidae. The great pond snail is a model organism to study parasitology, neurology, embryonal development and genetic regulation."
Taeniopygia guttata,https://biodiversity.org.au/afd/taxa/246ede86-5d70-4efb-9498-4ebe75ccf492,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia,Zebra Finch,12139,,,,,https://images.ala.org.au/image/proxyImage?imageId=492934b5-7ac4-48c9-adea-66cd13702ff9,The Sunda zebra finch is a species of bird in the family Estrildidae. It is found in the Lesser Sundas.
Otiorhynchus cribricollis,https://biodiversity.org.au/afd/taxa/b0f3589c-c363-403a-88c0-291bf5c0be4a,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Apple Weevil,9,,,,,https://images.ala.org.au/image/proxyImage?imageId=0ea110e2-6502-4190-975f-efc5acb24aaf,"Otiorhynchus cribricollis, also known as the cribrate weevil, is one of the many species in the weevil family (Curculionidae). It is native to the Mediterranean and a pest of apple orchards and vineyards in Western Australia."
Dictyotus caenosus,https://biodiversity.org.au/afd/taxa/5e0ef3d9-24f1-4769-8bc7-5c0e249aee74,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Dictyotus,Brown Shield Bug,90,,,,,https://images.ala.org.au/image/proxyImage?imageId=0c3276c8-1271-457f-94a9-918a590ef439,"Dictyotus caenosus, commonly known as the brown shield bug, is an Australian species of stink bug that has been introduced into New Zealand and New Caledonia."
Sus scrofa,https://biodiversity.org.au/afd/taxa/948d8ca1-62fc-4d03-a79d-4be2de837264,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Pig,920,,,,,https://images.ala.org.au/image/proxyImage?imageId=d3db126f-caa4-4622-8bed-c56e87ea7a4d,"The wild boar, also known as the wild swine, common wild pig, Eurasian wild pig, or simply wild pig, is a suid native to much of Eurasia and North Africa, and has been introduced to the Americas and Oceania. The species is now one of the widest-ranging mammals in the world, as well as the most widespread suiform…"
Ziphius cavirostris,https://biodiversity.org.au/afd/taxa/ec880d6b-91fc-4089-86c7-7acf615a34b2,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,Ziphius,Cuvier's Beaked Whale,11,,,,,https://images.ala.org.au/image/proxyImage?imageId=d9d96086-8eaa-4d1d-8be6-fb774a62aba1,"Cuvier's beaked whale, goose-beaked whale, or ziphius is the most widely distributed of all beaked whales in the family Ziphiidae. It is smaller than most baleen whales—and indeed the larger toothed cetaceans —yet it is large among the beaked whales and smaller cetaceans, appearing somewhat like a bigger and stockier bottlenose dolphin…"
Helicoverpa assulta,https://biodiversity.org.au/afd/taxa/6e5eb7a1-fca8-4b0b-b1b9-f43ed82b7ac4,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Helicoverpa,,2,,,,Y,https://images.ala.org.au/image/proxyImage?imageId=e41f3901-d6cb-47e3-a7c4-12c2f7fe4074,"Helicoverpa assulta, the oriental tobacco budworm, is a moth of the family Noctuidae. H. assulta adults are migratory and are found all over the Old World Tropics including Asia, Africa, and Australia."
