animal_taxon_name,Species,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of Records,Victoria : Conservation Status,EPBC Act Threatened Species,Weeds of National Significance (WoNS) as at Feb. 2013,VIC State Notifiable Pests,image_url,summary
Turdus merula,https://biodiversity.org.au/afd/taxa/7f0b5430-3e37-4dd4-8dff-d6b288cde445,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Eurasian Blackbird,275136,,,,,https://images.ala.org.au/image/proxyImage?imageId=0db9f8c2-3130-4ef0-94ae-5e92568e6136,"The common blackbird is a species of true thrush. It is also called the Eurasian blackbird, or simply the blackbird. It breeds in Europe, western Asia, and North Africa, and has been introduced to Australia and New Zealand. It has a number of subspecies across its large range; a few former Asian subspecies are now widely treated as separate species…"
Turdus philomelos,https://biodiversity.org.au/afd/taxa/b586ae5d-aea3-4141-b94e-e386836f2aca,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Song Thrush,3299,,,,,https://images.ala.org.au/image/proxyImage?imageId=5edc564e-50a0-4485-bd8f-261e41a9c126,"The song thrush is a thrush that breeds across the West Palearctic. It has brown upper-parts and black-spotted cream or buff underparts and has four recognised subspecies. Its distinctive song, which has repeated musical phrases, has frequently been referred to in poetry."
Vanessa cardui,https://biodiversity.org.au/afd/taxa/bd545e9a-f71b-431b-b81a-3b19dacd310f,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Painted Lady,3,,,,,https://images.ala.org.au/image/proxyImage?imageId=6993385c-6435-4b88-847a-931ba8ad0756,"Vanessa cardui is the most widespread of all butterfly species. It is commonly called the painted lady, or formerly in North America the cosmopolitan."
Coccus hesperidum,https://biodiversity.org.au/afd/taxa/d060a064-a67e-4e5f-a8b8-f89012a06f79,Animalia,Arthropoda,Insecta,Hemiptera,Coccidae,Coccus,Brown Soft Scale,8,,,,,https://images.ala.org.au/image/proxyImage?imageId=d14aa021-009c-4a51-8a91-f25d8b68d50a,"Coccus hesperidum is a soft scale insect in the family Coccidae with a wide host range. It is commonly known as brown soft scale. It has a cosmopolitan distribution and feeds on many different host plants. It is an agricultural pest, particularly of citrus and commercial greenhouse crops."
Hippotion celerio,https://biodiversity.org.au/afd/taxa/d9061bb7-6e32-4e47-bb5c-ebd6f1919ec0,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hippotion,Grapevine Hawk Moth,149,,,,,https://images.ala.org.au/image/proxyImage?imageId=988ef93d-71eb-4f6e-b6fc-f6073da13dc8,"Hippotion celerio, the vine hawk-moth or silver-striped hawk-moth, is a moth of the family Sphingidae. It was described by Carl Linnaeus in his 1758 10th edition of Systema Naturae."
Agrotis ipsilon,https://biodiversity.org.au/afd/taxa/7416a7d2-1eb0-4d62-949a-6dc625e3573e,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrotis,Owlet Moth,48,,,,,https://images.ala.org.au/image/proxyImage?imageId=f4e75131-b561-431c-9d41-0fb744e08da0,"Agrotis ipsilon, the dark sword-grass, ipsilon dart, black cutworm, greasy cutworm or floodplain cutworm, is a small noctuid moth found worldwide. The moth gets its scientific name from black markings on its forewings shaped like the letter ""Y"" or the Greek letter upsilon. The larvae are known as ""cutworms"" because they cut plants and other crops…"
Vulpes vulpes,https://biodiversity.org.au/afd/taxa/2869ce8a-8212-46c2-8327-dfb7fabb8296,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Fox,27803,,,,,https://images.ala.org.au/image/proxyImage?imageId=37e2fced-817c-4408-b473-c8c529ee8063,"The red fox is the largest of the true foxes and one of the most widely distributed members of the order Carnivora, being present across the entire Northern Hemisphere including most of North America, Europe and Asia, plus parts of North Africa. It is listed as least concern on the IUCN Red List…"
Creontiades dilutus,https://biodiversity.org.au/afd/taxa/36fcd47e-c0cb-47a4-96e9-24336b966809,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Creontiades,Green Mirid,173,,,,,https://images.ala.org.au/image/proxyImage?imageId=ba8de666-ab5a-453e-9569-306683642468,"Creontiades dilutus, commonly known as the green mirid, is a member of the bug family Miridae. This insect is considered a ""generalist"" feeding on over 100 plant species, and is also a major economic pest on several important agricultural crops."
Bombus terrestris,https://biodiversity.org.au/afd/taxa/b343ddea-4cf0-417a-9b0f-6540aa7e2452,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=ce0171d8-a098-4b81-902a-7c8bb4f5bbe8,"Bombus terrestris, the buff-tailed bumblebee or large earth bumblebee, is one of the most numerous bumblebee species in Europe. It is one of the main species used in greenhouse pollination, and so can be found in many countries and areas where it is not native, such as Tasmania. Moreover, it is a eusocial insect with an overlap of generations, a division of labour, and cooperative brood care…"
Lampides boeticus,https://biodiversity.org.au/afd/taxa/dcd623e7-1520-468e-8f08-7fbfd413b71f,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lampides,Long-tailed Pea-blue,480,,,,,https://images.ala.org.au/image/proxyImage?imageId=208dd85f-6b0d-4c9e-9382-1170508d31b4,"Lampides boeticus, the pea blue, or long-tailed blue, is a small butterfly that belongs to the lycaenids or gossamer-winged family."
